iter	Logloss
0	0.6772294504
1	0.6671220137
2	0.6569707597
3	0.6457545986
4	0.6359610477
5	0.6275549917
6	0.6186558955
7	0.6088855909
8	0.6018506043
9	0.5952553307
10	0.5893224083
11	0.5815170062
12	0.5752135733
13	0.5687511356
14	0.5642040678
15	0.5566596637
16	0.5495096916
17	0.5450087053
18	0.5409320397
19	0.535689606
20	0.5312395695
21	0.5278405159
22	0.5240510792
23	0.5207827403
24	0.5181147275
25	0.5149834465
26	0.5122822591
27	0.5093965944
28	0.5069789404
29	0.5048876538
30	0.5026029944
31	0.5002308307
32	0.4973664694
33	0.4951195785
34	0.4920931134
35	0.4893752232
36	0.4875028137
37	0.485347907
38	0.4835138203
39	0.4814716082
40	0.4799617012
41	0.4778704045
42	0.4761655732
43	0.4744424381
44	0.4728875491
45	0.4714981536
46	0.4700873059
47	0.4686634601
48	0.4674220573
49	0.466163891
50	0.4648179929
51	0.4632700397
52	0.4614580257
53	0.4604980935
54	0.4589424538
55	0.4576564789
56	0.4561636984
57	0.4551202914
58	0.454176459
59	0.4529406217
60	0.451453029
61	0.4503185753
62	0.4494609623
63	0.4488974953
64	0.4475542659
65	0.4467240764
66	0.4455811776
67	0.444570351
68	0.4439303863
69	0.4430143025
70	0.4413913233
71	0.4407469033
72	0.440045861
73	0.4390009533
74	0.4380846434
75	0.4372145217
76	0.4365823696
77	0.4360382006
78	0.4354586218
79	0.434371302
80	0.4336845101
81	0.433207689
82	0.4324639327
83	0.4316593818
84	0.4312228225
85	0.4306473701
86	0.4300832545
87	0.4294250856
88	0.4287759704
89	0.428184672
90	0.4278816442
91	0.4272769453
92	0.4267129166
93	0.4261776948
94	0.4254973079
95	0.425130329
96	0.424330802
97	0.4237871259
98	0.4233139474
99	0.4230249742
100	0.4226086259
101	0.4222292957
102	0.4215121628
103	0.4210552406
104	0.4207347608
105	0.4204142427
106	0.420007802
107	0.4197501263
108	0.4194749049
109	0.4192085195
110	0.4188938037
111	0.4185670039
112	0.4180209835
113	0.417666396
114	0.4172743749
115	0.4171466966
116	0.4166753359
117	0.4160842304
118	0.4153293574
119	0.4151125752
120	0.4147898734
121	0.4143964945
122	0.4136290166
123	0.4133815629
124	0.4131289508
125	0.4126340247
126	0.4121889294
127	0.4118498228
128	0.4114972764
129	0.4111968051
130	0.4109151996
131	0.4106455688
132	0.4104061012
133	0.4101962763
134	0.4098154139
135	0.4095951892
136	0.4093226086
137	0.4091417131
138	0.4089517835
139	0.4087820351
140	0.4085623918
141	0.408021511
142	0.4076498039
143	0.4074590899
144	0.4072397044
145	0.4069174697
146	0.4068125999
147	0.4065280838
148	0.406241603
149	0.4059837841
150	0.4057171786
151	0.4055257667
152	0.4051359208
153	0.4049098718
154	0.4046036396
155	0.4044749482
156	0.4043124995
157	0.4041843482
158	0.4039823737
159	0.4038472761
160	0.4037049521
161	0.4035528922
162	0.4032055163
163	0.4028926778
164	0.4026847768
165	0.4024709085
166	0.4022621794
167	0.4020970365
168	0.4019460913
169	0.4015075506
170	0.4013100704
171	0.4011061962
172	0.4009482474
173	0.4008426856
174	0.4006241521
175	0.4004020702
176	0.4001489118
177	0.4000126111
178	0.3997945961
179	0.3996511728
180	0.3995618923
181	0.3994307038
182	0.3993475273
183	0.3990734068
184	0.3989310213
185	0.3985310489
186	0.3982322461
187	0.3980711729
188	0.3979611248
189	0.3977178225
190	0.3975241297
191	0.3973988995
192	0.3973043374
193	0.3970918578
194	0.3969789579
195	0.3968164877
196	0.3966521776
197	0.396498694
198	0.3963813483
199	0.3962765691
200	0.3961801777
201	0.396057733
202	0.3959369384
203	0.3957341346
204	0.3955577068
205	0.3953655537
206	0.3951982238
207	0.3949956158
208	0.3947368681
209	0.3945797328
210	0.3944725499
211	0.3943649076
212	0.3941814121
213	0.3939990305
214	0.3937951354
215	0.393527594
216	0.3934180471
217	0.3932952616
218	0.393134706
219	0.392979837
220	0.3927522934
221	0.3926207694
222	0.3923501232
223	0.392257497
224	0.3921455219
225	0.3919111174
226	0.3917623361
227	0.3916909511
228	0.3916299233
229	0.391459045
230	0.3912820839
231	0.3911661168
232	0.3910063864
233	0.3907636198
234	0.3906885028
235	0.3905782572
236	0.3904780933
237	0.3903404877
238	0.390206464
239	0.3899966746
240	0.3899035961
241	0.3897107163
242	0.3892270956
243	0.3891345243
244	0.3890515858
245	0.3889246548
246	0.3887969813
247	0.3885000987
248	0.3883416588
249	0.3882912691
250	0.3881648539
251	0.3880107181
252	0.3878509098
253	0.387673693
254	0.3875835653
255	0.3874787094
256	0.3874096554
257	0.3872649675
258	0.3871175145
259	0.386945948
260	0.3867066054
261	0.3865149971
262	0.3863690891
263	0.3862573008
264	0.3860704893
265	0.3858868919
266	0.3858292276
267	0.3855666005
268	0.385480663
269	0.385355028
270	0.3852791675
271	0.3852322383
272	0.3851538402
273	0.3850115707
274	0.3849476801
275	0.3848780035
276	0.3848138293
277	0.3846147908
278	0.3845296664
279	0.3844184519
280	0.3842231021
281	0.384083011
282	0.3840032813
283	0.3839170403
284	0.3838027854
285	0.3837016533
286	0.383587725
287	0.3834978565
288	0.3833972018
289	0.3832650419
290	0.3831371965
291	0.3829270094
292	0.3827648485
