iter	Passed	Remaining
0	3	3455
1	7	3503
2	10	3328
3	12	3208
4	16	3225
5	18	3143
6	21	3102
7	24	3049
8	27	3044
9	30	3005
10	33	2990
11	36	2967
12	39	2997
13	43	3039
14	46	3032
15	49	3070
16	52	3042
17	55	3032
18	58	3005
19	60	2988
20	63	2961
21	66	2949
22	69	2938
23	71	2927
24	74	2916
25	78	2932
26	81	2926
27	84	2930
28	87	2924
29	90	2915
30	93	2908
31	95	2894
32	98	2881
33	101	2873
34	103	2862
35	106	2850
36	108	2836
37	111	2829
38	114	2822
39	117	2811
40	119	2800
41	122	2800
42	125	2799
43	129	2805
44	131	2794
45	134	2787
46	137	2780
47	139	2775
48	142	2769
49	145	2763
50	148	2762
51	151	2754
52	153	2747
53	156	2739
54	159	2734
55	161	2729
56	164	2722
57	167	2719
58	170	2713
59	172	2708
60	175	2697
61	177	2687
62	179	2676
63	182	2670
64	185	2663
65	187	2652
66	190	2647
67	192	2644
68	195	2642
69	198	2634
70	200	2628
71	203	2623
72	205	2614
73	208	2608
74	210	2602
75	213	2593
76	215	2585
77	218	2580
78	221	2577
79	223	2570
80	226	2566
81	228	2560
82	231	2562
83	234	2558
84	237	2554
85	239	2549
86	242	2543
87	244	2537
88	247	2532
89	249	2526
90	252	2522
91	254	2516
92	257	2511
93	260	2510
94	264	2523
95	269	2534
96	275	2565
97	281	2587
98	285	2594
99	290	2613
100	295	2631
101	299	2638
102	303	2646
103	308	2658
104	327	2790
105	332	2802
106	336	2810
107	354	2927
108	368	3015
109	384	3114
110	388	3112
111	408	3239
112	421	3306
113	439	3417
114	486	3745
115	536	4089
116	620	4682
117	626	4680
118	681	5041
119	686	5033
120	769	5593
121	774	5573
122	784	5595
123	812	5736
124	816	5716
125	837	5808
126	857	5893
127	879	5989
128	896	6053
129	920	6160
130	926	6145
131	999	6570
132	1020	6651
133	1035	6695
134	1081	6929
135	1109	7048
136	1138	7168
137	1172	7321
138	1177	7296
139	1211	7440
140	1241	7563
141	1275	7703
142	1279	7668
143	1316	7825
144	1322	7799
145	1353	7915
146	1383	8026
147	1423	8193
148	1429	8163
149	1463	8292
150	1487	8362
151	1519	8478
152	1548	8570
153	1570	8629
154	1620	8836
155	1640	8874
156	1680	9024
157	1725	9196
158	1772	9373
159	1792	9409
160	1803	9398
161	1859	9618
162	1865	9578
163	1907	9725
164	1913	9681
165	1980	9952
166	1987	9912
167	2026	10035
168	2046	10060
169	2068	10097
170	2131	10334
171	2161	10403
172	2166	10356
173	2219	10535
174	2239	10559
175	2277	10662
176	2301	10703
177	2314	10686
178	2325	10666
179	2345	10683
180	2363	10695
181	2377	10684
182	2399	10711
183	2410	10691
184	2452	10803
185	2457	10755
186	2476	10765
187	2488	10749
188	2493	10700
189	2520	10745
190	2546	10786
191	2551	10736
192	2575	10767
193	2596	10788
194	2622	10825
195	2626	10775
196	2663	10856
197	2682	10867
198	2707	10896
199	2744	10978
200	2784	11067
201	2812	11111
202	2856	11215
203	2955	11530
204	3002	11642
205	3022	11650
206	3062	11733
207	3092	11774
208	3142	11893
209	3147	11842
210	3186	11916
211	3192	11865
212	3266	12067
213	3275	12028
214	3304	12066
215	3310	12014
216	3341	12056
217	3381	12130
218	3394	12107
219	3429	12160
220	3435	12108
221	3493	12242
222	3531	12303
223	3542	12273
224	3548	12222
225	3639	12465
226	3668	12493
227	3697	12519
228	3702	12466
229	3764	12603
230	3769	12549
231	3810	12615
232	3908	12866
233	3958	12959
234	3964	12906
235	3998	12943
236	4003	12889
237	4066	13018
238	4104	13068
239	4131	13082
240	4138	13035
241	4178	13086
242	4203	13094
243	4221	13079
244	4226	13025
245	4260	13058
246	4266	13007
247	4287	13001
248	4307	12993
249	4328	12986
250	4334	12933
251	4377	12994
252	4383	12943
253	4414	12965
254	4429	12941
255	4442	12911
256	4487	12974
257	4509	12968
258	4514	12915
259	4559	12976
260	4565	12925
261	4609	12985
262	4628	12970
263	4642	12941
264	4662	12931
265	4667	12880
266	4699	12900
267	4729	12919
268	4760	12936
269	4783	12932
270	4787	12878
271	4804	12859
272	4829	12860
273	4851	12855
274	4887	12884
275	4906	12871
276	4922	12847
277	4939	12828
278	4956	12808
279	4969	12779
280	4978	12738
281	4989	12704
282	5032	12750
283	5058	12752
284	5091	12774
285	5097	12725
286	5127	12738
287	5160	12758
288	5198	12789
289	5227	12797
290	5231	12747
291	5250	12730
292	5266	12708
293	5288	12699
294	5293	12650
295	5321	12655
296	5342	12645
297	5366	12642
298	5412	12690
299	5428	12666
300	5498	12769
301	5550	12829
302	5579	12834
303	5603	12830
304	5634	12839
305	5639	12791
306	5699	12865
307	5719	12850
308	5747	12852
309	5779	12864
310	5835	12928
311	5858	12919
312	5912	12977
313	5917	12927
314	5935	12907
315	5966	12913
316	5971	12866
317	5997	12863
318	6031	12876
319	6037	12829
320	6059	12818
321	6096	12836
322	6130	12849
323	6151	12833
324	6156	12787
325	6190	12797
326	6194	12749
327	6237	12779
328	6259	12766
329	6265	12719
330	6289	12711
331	6303	12683
332	6345	12709
333	6361	12684
334	6381	12667
335	6451	12748
336	6486	12760
337	6490	12712
338	6494	12663
339	6498	12613
340	6501	12564
341	6531	12566
342	6540	12528
343	6551	12493
344	6563	12460
345	6575	12428
346	6585	12393
347	6596	12358
348	6608	12326
349	6619	12292
350	6629	12257
351	6640	12224
352	6651	12190
353	6662	12157
354	6674	12126
355	6687	12097
356	6692	12053
357	6721	12054
358	6754	12060
359	6782	12057
360	6787	12013
361	6810	12003
362	6816	11962
363	6828	11931
364	6859	11934
365	6880	11917
366	6901	11904
367	6907	11863
368	6927	11846
369	6944	11824
370	6949	11781
371	6976	11777
372	6982	11736
373	7013	11739
374	7020	11701
375	7047	11695
376	7067	11678
377	7071	11636
378	7077	11596
379	7095	11577
380	7110	11552
381	7124	11526
382	7130	11486
383	7139	11452
384	7149	11420
385	7160	11389
386	7174	11364
387	7206	11367
388	7219	11339
389	7232	11312
390	7236	11271
391	7252	11249
392	7265	11222
393	7270	11182
394	7285	11158
395	7299	11133
396	7303	11093
397	7349	11116
398	7354	11077
399	7373	11059
400	7394	11045
401	7411	11024
402	7428	11004
403	7448	10988
404	7466	10969
405	7498	10971
406	7540	10985
407	7545	10948
408	7588	10965
409	7610	10951
410	7643	10954
411	7660	10933
412	7690	10931
413	7730	10941
414	7794	10988
415	7823	10983
416	7829	10945
417	7846	10925
418	7879	10925
419	7901	10911
420	7941	10921
421	7970	10916
422	7983	10889
423	7988	10851
424	8015	10844
425	8019	10806
426	8037	10785
427	8041	10747
428	8058	10726
429	8062	10687
430	8079	10666
431	8094	10642
432	8126	10640
433	8144	10621
434	8150	10586
435	8159	10555
436	8170	10526
437	8175	10489
438	8191	10468
439	8201	10438
440	8212	10410
441	8222	10380
442	8231	10350
443	8241	10320
444	8254	10294
445	8265	10266
446	8292	10259
447	8316	10247
448	8343	10238
449	8373	10234
450	8388	10211
451	8394	10176
452	8429	10178
453	8433	10142
454	8467	10142
455	8488	10126
456	8500	10100
457	8521	10084
458	8527	10050
459	8557	10045
460	8562	10011
461	8621	10039
462	8655	10038
463	8692	10040
464	8722	10035
465	8727	10001
466	8760	9998
467	8766	9965
468	8866	10038
469	8908	10045
470	8913	10011
471	8963	10026
472	8969	9992
473	9020	10010
474	9067	10021
475	9101	10019
476	9124	10004
477	9176	10021
478	9204	10011
479	9220	9989
480	9245	9975
481	9263	9955
482	9279	9933
483	9297	9912
484	9309	9885
485	9319	9855
486	9329	9827
487	9340	9799
488	9367	9789
489	9373	9755
490	9416	9761
491	9445	9752
492	9476	9745
493	9482	9712
494	9565	9758
495	9590	9745
496	9620	9736
497	9659	9737
498	9665	9704
499	9688	9688
