,PassengerId,Cabin,Transported
0,0001_01,B/0/P,0
1,0002_01,F/0/S,1
2,0003_01,A/0/S,0
3,0003_02,A/0/S,0
4,0004_01,F/1/S,1
5,0005_01,F/0/P,1
6,0006_01,F/2/S,1
7,0006_02,G/0/S,1
8,0007_01,F/3/S,1
9,0008_01,B/1/P,1
10,0008_02,B/1/P,1
11,0008_03,B/1/P,1
12,0009_01,F/1/P,1
13,0010_01,G/1/S,0
14,0011_01,F/2/P,1
15,0012_01,,0
16,0014_01,F/3/P,0
17,0015_01,F/4/P,0
18,0016_01,F/5/P,1
19,0017_01,G/0/P,1
20,0017_02,F/6/P,0
21,0020_01,E/0/S,0
22,0020_02,E/0/S,0
23,0020_03,E/0/S,0
24,0020_04,E/0/S,1
25,0020_05,E/0/S,0
26,0020_06,E/0/S,0
27,0022_01,D/0/P,0
28,0024_01,C/2/S,1
29,0025_01,F/6/S,0
30,0026_01,C/0/P,0
31,0028_01,F/8/P,0
32,0030_01,G/4/S,0
33,0031_01,F/9/P,1
34,0031_02,F/9/P,1
35,0031_03,F/9/P,1
36,0034_01,D/1/S,1
37,0035_01,D/1/P,0
38,0036_01,F/8/S,0
39,0038_01,F/10/S,0
40,0039_01,G/1/P,0
41,0041_01,G/2/P,1
42,0043_01,B/3/P,0
43,0044_01,G/3/P,0
44,0044_02,G/3/P,1
45,0044_03,G/3/P,1
46,0045_01,F/10/P,0
47,0045_02,F/10/P,1
48,0050_01,E/1/S,0
49,0051_01,E/2/S,0
50,0052_01,G/6/S,0
51,0053_01,F/11/S,1
52,0056_01,A/1/S,1
53,0056_02,A/1/S,1
54,0056_03,A/1/S,1
55,0058_01,G/7/S,0
56,0061_01,F/12/S,0
57,0062_01,F/13/S,0
58,0064_01,F/14/S,1
59,0064_02,E/3/S,1
60,0066_01,G/6/P,0
61,0067_01,G/10/S,1
62,0067_02,G/10/S,1
63,0067_03,F/15/S,0
64,0068_01,E/4/S,0
65,0069_01,F/16/S,1
66,0070_01,F/13/P,0
67,0071_01,F/14/P,0
68,0072_01,F/17/S,0
69,0073_01,D/3/P,0
70,0074_01,C/3/S,1
71,0076_01,F/18/S,1
72,0077_01,F/15/P,1
73,0078_01,C/4/S,0
74,0081_01,G/13/S,0
75,0082_01,F/16/P,0
76,0082_02,F/16/P,1
77,0082_03,F/16/P,1
78,0084_01,G/14/S,1
79,0085_01,C/5/S,1
80,0086_01,F/17/P,0
81,0088_01,E/5/S,1
82,0090_01,G/15/S,1
83,0091_01,G/16/S,1
84,0091_02,F/20/S,0
85,0092_01,G/9/P,0
86,0092_02,G/9/P,1
87,0092_03,G/9/P,1
88,0097_01,A/2/S,0
89,0098_01,G/11/P,0
90,0098_02,G/11/P,1
91,0099_01,F/19/P,0
92,0099_02,G/12/P,1
93,0101_01,,1
94,0102_01,F/23/S,0
95,0103_01,F/24/S,1
96,0103_02,G/18/S,1
97,0103_03,G/18/S,0
98,0105_01,F/21/P,0
99,0107_01,D/2/S,0
100,0108_01,G/19/S,0
101,0108_02,G/19/S,0
102,0108_03,G/19/S,1
103,0110_01,,0
104,0110_02,B/5/P,0
105,0110_03,B/5/P,1
